--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
 hemmea                  	 hemmea                  	0.3646
 Awiaberɛ                	 Awiaberɛ                	0.8825
 monnsene                	 monnsene                	0.9594
 momonotofoɔ             	 momonotofoɔ             	0.1652
 Mɛyɛ                    	 Mɛyɛ                    	0.5795
 yɛrekɔpɛ                	 yɛrekɔeɛ                	0.5034
 Yɛatintim               	 Yɛatintim               	0.3112
 Onyinsɛnee              	 Onyinsɛnee              	0.5147
 wankɔ                   	 wankɔ                   	0.4886
 bepirim                 	 bepirim                 	0.2210
 addressee.              	 addressee.              	0.8613
 wusuro                  	 wusuro                  	0.6625
 samarium                	 samarium                	0.5196
 wɔbisabisa              	 wɔbisabisa              	0.4777
 nkokwawee               	 nkokwawee               	0.9160
 awiporowbea             	 awiporosbea             	0.4672
 Santomase               	 Santomase               	0.4599
 Abdeen                  	 Abdeen                  	0.9924
 hɔfoɔ                   	 hɔfoɔ                   	0.9768
 hwamhwam                	 hwamhwam                	0.7432
 ohunu                   	 ohunu                   	0.5878
 Waldron                 	 Waldron                 	0.9329
 h.....                  	 h.....                  	0.3341
 ntokuatow               	 ntokuatow               	0.9181
 kotwekotwekotwe         	 kotwekotwekotwe         	0.6137
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 pent                    	 pent                    	0.7614
 guasodeyɛ               	 guasodeyɛ               	0.6217
 weweree                 	 weweree                 	0.8761
 Were                    	 Were                    	0.8791
 Estela                  	 Estela                  	0.6545
 abɛn                    	 abɛn                    	0.9615
 wɔankyekye              	 wɔankyekye              	0.2447
 outputself              	 outputeeif              	0.3786
 Yɛkamfo                 	 Yɛkamfo                 	0.6056
 mankɔ                   	 mankɔ                   	0.9091
 fawohodie               	 fawohodie               	0.6009
 ATOSɛM                  	 ATOSɛM                  	0.7954
 SEFWI                   	 SEFWI                   	0.9642
 Ahafo                   	 Ahafo                   	0.9352
 Lug                     	 Lug                     	0.9931
 ɛassa                   	 ɛassa                   	0.9989
 Mandelstam              	 Mandelstam              	0.2563
 akwahosan               	 akwahosan               	0.6899
 amia                    	 amia                    	0.9341
 Esua                    	 Esua                    	0.8466
 aguanfo                 	 aguanfo                 	0.7723
 wɔrennyaw               	 wɔrennyaw               	0.1562
 bboa                    	 bboa                    	0.9988
 Odwowtwafo              	 Odwowtwafo              	0.2314
 Kaduna                  	 Kaduna                  	0.6380
 Imri                    	 Imri                    	0.5178
 yiye                    	 yiye                    	0.7936
 mikowuraa               	 mikowuraa               	0.5469
 ɔbaako                  	 ɔbaako                  	0.3788
 anwiinwiifoɔ            	 aneiinwofoɔ             	0.0021
 nkyerɛkyerɛ             	 nkyerɛkyerɛ             	0.4568
 nso                     	 nso                     	0.9815
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Vazquez                 	 Vazquez                 	0.7780
 Aveda                   	 Aveda                   	0.4574
 Swazi                   	 Swazi                   	0.9887
 aniwudeɛ                	 aniwudeɛ                	0.8592
 Wokyinkyinii            	 Wokyinkyinii            	0.6918
 bogya                   	 bogya                   	0.2699
 ntoboase                	 ntoboase                	0.2893
 wahyia                  	 wahyia                  	0.7246
 nnyentia                	 nnyentia                	0.9608
 Italiano                	 Italiano                	0.5537
 LEZHNINA                	 LEZMNINA                	0.0695
 Kasakoa                 	 Kasakoa                 	0.3642
 De                      	 De                      	0.7956
 Mmane                   	 Mmane                   	0.9962
 awerɛw                  	 awerɛw                  	0.6676
 Matenai                 	 Matenai                 	0.9666
 Printing                	 Printing                	0.8648
 Burgoyne                	 Burgoyne                	0.9650
 Kalispell               	 Kalispell               	0.8097
 nakwan                  	 nakwan                  	0.7983
 akukudamfo              	 akukudamfo              	0.4157
 animuonyam.             	 animuonyam.             	0.4333
 Dedaadaw                	 Dedaadaw                	0.3760
 anammɔnkwan             	 anammɔnkwan             	0.5386
 wɔakɔtra                	 wɔakɔtra                	0.4574
 Tarsis                  	 Tarsis                  	0.6845
 ɔonsolamentum           	 ɔonsolamentum           	0.8081
 mane                    	 mane                    	0.9115
 huntabea                	 huntabea                	0.4808
 akae                    	 akae                    	0.7005
 Saalbim                 	 Saalbim                 	0.8275
 .                       	 .                       	0.9979
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 !S                      	 !S                      	0.9249
 ɔyɛeɛ                   	 ɔyɛeɛ                   	0.8746
 ɔmmɛtɔ                  	 ɔmmɛtɔ                  	0.5027
 asi                     	 asi                     	0.9991
 ofiewura                	 ofiewura                	0.7912
 deda                    	 deda                    	0.9962
 nkutahodiemu            	 nkutahodiemu            	0.2594
 ɛ.ɛ.                    	 ɛɛ.                     	0.5556
 .                       	 .                       	0.9670
 ɔmpu                    	 ɔmpu                    	0.9013
 Wusisi                  	 Wusisi                  	0.9974
 Sibasa                  	 Sibasa                  	0.8906
 wɔbɛyɛɛ                 	 wɔbɛyɛɛ                 	0.2893
 nkokyinkyin             	 nkokyinkyin             	0.5610
 wommpue                 	 wommpue                 	0.4323
 Kaldea.                 	 Kaldea.                 	0.1710
 nkodu                   	 nkodu                   	0.9610
 worensosɔ               	 worensosɔ               	0.6921
 Siege                   	 Siege                   	0.9999
 ɛbɛtra                  	 ɛbɛtra                  	0.3533
 mehwanyan               	 mdhwanyan               	0.0443
 mɛsua                   	 mɛsua                   	0.9719
 Bunkam                  	 Bunkam                  	0.8193
 nsakrae                 	 nsakrae                 	0.2022
 SEIR                    	 SEIR                    	0.9917
 kɔ!                     	 kɔ!                     	0.9003
 yeguguu                 	 yeguguu                 	0.8731
 ɔontextual              	 ɔontextual              	0.2525
 rennwiinwii             	 rennwiinwii             	0.7336
 monsɔ                   	 monsɔ                   	0.5155
 Hinom                   	 Hinom                   	0.7234
 wannome                 	 wannome                 	0.7133
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 asase.                  	 asase.                  	0.9882
 Pou                     	 Pou                     	0.9667
 Hwenemusie              	 Hwenemusie              	0.4311
 Nhoahoa                 	 Nhoahoa                 	0.2746
 nyinsɛnyigu             	 nyinsɛnyigu             	0.9426
 woaboa                  	 woaboa                  	0.5464
 aperenkensema           	 arerenkensema           	0.6317
 Salu                    	 Salu                    	0.7721
 breki                   	 breki                   	0.5330
 moaka                   	 moaka                   	0.5498
 amudie                  	 amudie                  	0.6190
 Betgilgal               	 Betgilgal               	0.6459
 Babel                   	 Babel                   	0.8774
 hyerɛnfo                	 hyerɛnfo                	0.7549
 Mfaso                   	 Mfaso                   	0.4800
 Akorafo                 	 Akorafo                 	0.9118
 Bossi                   	 Bossi                   	0.9997
 wɔbɛteɛ?                	 wɔbɛteɛ?                	0.9133
 euphemism               	 euphemiam               	0.0610
 Ortodokfo               	 Ortodokfo               	0.5086
 wɔkyere                 	 wɔkyere                 	0.8745
 nsamub                  	 nsamub                  	0.6497
 man                     	 man                     	0.9780
 Vende                   	 Vende                   	0.9942
 dɛbɔ                    	 dɛbɔ                    	0.9872
 Kamel                   	 Kamel                   	0.9457
 Helkat                  	 Helkat                  	0.4931
 ten!                    	 ten!                    	0.9899
 wɔbisaa                 	 wɔbisaa                 	0.6317
 metoa                   	 metoa                   	0.5053
 wɔbɛnee                 	 wɔbɛnee                 	0.7578
 Distanɔe                	 Distanɔe                	0.6262
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Kidd                    	 Kidd                    	0.6684
 Gerber                  	 Gerber                  	0.9579
 Miesɔher                	 Miesɔher                	0.5133
 ntakramoa               	 ntakramoa               	0.6009
 overt                   	 overt                   	0.9959
 wosua.                  	 wosua.                  	0.8105
 anofanu                 	 anofanu                 	0.8016
 nokotwa                 	 nokotwa                 	0.9388
 .                       	 .                       	0.9931
 Twi.                    	 Twi.                    	0.9580
 guaɔamole               	 guaɔamole               	0.5284
 ɔWɔ                     	 ɔWɔ                     	0.9528
 ɛoɔelyn                 	 ɛoɔelyn                 	0.9960
 yeyɛɛ                   	 yeyɛɛ                   	0.9691
 asukyene                	 asukyene                	0.6778
 biology                 	 biology                 	0.5712
 ɔkyɛm                   	 ɔkyɛm                   	0.8844
 A.Y.                    	 A.Y.                    	0.4570
 yɛreyera!               	 yɛreyera!               	0.8656
 Kimono                  	 Kimono                  	0.5963
 Grimm                   	 Grinm                   	0.5450
 ed.Leuven               	 ed.Leuven               	0.5316
 ahina                   	 ahina                   	0.6078
 asieeɛ.                 	 asieeɛ.                 	0.7037
 osuani.                 	 osuani.                 	0.8763
 entia                   	 entia                   	0.8704
 yɛhwɛe                  	 yɛhwɛe                  	0.6232
 ahoɔfɛdua               	 ahoɔfɛdua               	0.9319
 aba.                    	 aba.                    	0.7896
 b                       	 b                       	0.9964
 Mr                      	 Mr                      	0.9993
 Yɛabɔ                   	 Yɛabɔ                   	0.9666
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ɔgyee                   	 ɔgyee                   	0.9561
 HYIRAA                  	 HYIRAA                  	0.8397
 Wokɔdu                  	 Wokɔdu                  	0.9612
 batakari.               	 batakari.               	0.6057
 relativism              	 relativism              	0.8926
 hyɛnnua                 	 hyɛnnua                 	0.8474
 au                      	 au                      	0.7118
 Delila.                 	 Delila.                 	0.4032
 wɔrete                  	 wɔrete                  	0.6568
 adwene.                 	 adwene.                 	0.4988
 Kurotwiamansa           	 Kurotwiamansa           	0.4974
 Darwinfo                	 Darwinfo                	0.9464
 AHINANAN                	 AHINANAN                	0.6616
 mmɔho                   	 mmɔho                   	0.7727
 Komotin                 	 Komotin                 	0.9659
 Patris                  	 Patris                  	0.7940
 ɛkabom                  	 ɛkabom                  	0.8051
 wɔkasasu                	 wɔkasasu                	0.2741
 BOSOM                   	 BOSOM                   	0.9216
 mansini.                	 mansini.                	0.5461
 wɔnnidi                 	 wɔnnidi                 	0.6887
 Medwennwenee            	 Medwennwenee            	0.4521
 Erap                    	 Erap                    	0.5218
 Konyak                  	 Konyak                  	0.6121
 Hasidfo                 	 Hasidfo                 	0.6868
 sunsuanee               	 sunsuanee               	0.7233
 PAPUA                   	 PAPUA                   	0.5279
 yɛkɔtraa                	 yɛkɔtraa                	0.3812
 ɛnhwehwɛɛ               	 ɛnhwehwɛɛ               	0.7921
 .                       	 .                       	0.9430
 makɔkyerɛw              	 makɔkyerɛw              	0.3654
 Wɔbɛtete                	 Wɔbɛtete                	0.5465
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 munnnidi                	 munnnidi                	0.5203
 Wylen                   	 Wylen                   	0.1902
 nnuanom                 	 nnuanom                 	0.5008
 Mintumi                 	 Mintumi                 	0.9818
 ahenkwaa                	 ahenkwaa                	0.6868
 ɔrebɛsaw                	 ɔrebɛsaw                	0.4835
 Yɛhia                   	 Yɛhia                   	0.7103
 ɛba                     	 ɛba                     	0.9994
 khy                     	 khy                     	0.9960
 okuraa                  	 okuraa                  	0.9068
 ahohoahoadeɛ            	 anohoahoadeɛ            	0.1494
 wanguan                 	 wanguan                 	0.9693
 Yrehw                   	 Yrehw                   	0.8276
 ɛupira                  	 ɛupira                  	0.9590
 Mahalat                 	 Mahalat                 	0.3965
 Panayotis               	 Fanayotia               	0.0684
 twaka                   	 twaka                   	0.6277
 .                       	 .                       	0.7926
 Ntorowa                 	 Ntorowa                 	0.7396
 ɔdaban                  	 ɔdaban                  	0.6806
 sesa.                   	 sesa.                   	0.9976
 Edmond                  	 Edmond                  	0.6431
 Duban                   	 Duban                   	0.6891
 ɛteɛm                   	 ɛteɛm                   	0.5429
 Tiefoɔ                  	 Tiefoɔ                  	0.9726
 ARA                     	 ARA                     	0.9917
 b.                      	 b.                      	0.9405
 asɛnsin                 	 asɛnsin                 	0.9943
 Spainfo                 	 Spaimfo                 	0.3994
 Yesu.                   	 Yesu.                   	0.8312
 ɛrekunkum               	 ɛrekunkum               	0.8427
 Mail                    	 Mail                    	0.8593
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ntwamu                  	 ntwamu                  	0.9756
 botnets                 	 botnets                 	0.7047
 werɛ                    	 werɛ                    	0.7270
 ɔrenteɛteɛm             	 ɔrenteɛteɛm             	0.5576
 ɛbɛdii                  	 ɛbɛdii                  	0.9084
 Omar                    	 Omar                    	0.9752
 Wosom                   	 Wosom                   	0.8981
 yɛɛ                     	 yɛɛ                     	0.5360
 tia                     	 tia                     	0.5708
 nkotokuo                	 nkotokuo                	0.9834
 ɛne                     	 ɛne                     	0.8869
 Nantwie                 	 Nantwie                 	0.8927
 Dorothea                	 Dorothea                	0.5622
 mumfi                   	 mumfi                   	0.4797
 Mesiafo                 	 Mesiafo                 	0.9334
 uat                     	 uat                     	0.6379
 dunson                  	 dunson                  	0.9908
 ateateaa.               	 ateateaa.               	0.7873
 Mensuro                 	 Mensuro                 	0.6381
 Wɔnhyɛ                  	 Wɔnhyɛ                  	0.6010
 b                       	 b                       	0.9986
 kogyigyee               	 kogyigyee               	0.7495
 teɛ                     	 teɛ                     	0.9150
 wɔnni                   	 wɔnni                   	0.7451
 Angeles.                	 Angeles.                	0.6673
 nsom!                   	 nsom!                   	0.9560
 Peoria                  	 Peoria                  	0.7960
 Wɔbɛpaw                 	 Wɔbɛpaw                 	0.5700
 Adwenharefo             	 Adwenharefo             	0.3542
 Syriafo                 	 Syriafo                 	0.5715
 Aban                    	 Aban                    	0.4266
 fugitivus               	 fugitivus               	0.4996
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Ananmu                  	 Ananmu                  	0.7032
 nhwee                   	 nhwee                   	0.9576
 mexiɔanas               	 mexiɔanas               	0.9852
 oguamtrani              	 oguamtrani              	0.4290
 retu                    	 retu                    	0.5760
 akitegya                	 akitegya                	0.5828
 ahosakra                	 ahosakra                	0.7649
 pɛyɛfoɔ                 	 pɛyɛfoɔ                 	0.8367
 Kɔhyɛɛ                  	 Kɔhyɛɛ                  	0.8517
 Mafa                    	 Mafa                    	0.7956
 wɔntrɛw                 	 wɔntrɛw                 	0.5759
 miɔro                   	 miɔro                   	0.9526
 mpapadan                	 mpapadan                	0.4983
 Banɔroft                	 Banɔroft                	0.7308
 Sharqi                  	 Shargi                  	0.6062
 WOTINTIM                	 WOTINTIM                	0.3187
 wɔkaa                   	 wɔkaa                   	0.3516
 Koraa                   	 Koraa                   	0.3530
 Egyee                   	 Egyee                   	0.5373
